work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,Senior-level,Full-time,Data Engineer,195700,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,130500,US,On-site,US,Medium
2022,Senior-level,Full-time,ML Engineer,130000,US,Remote,US,Medium
2022,Senior-level,Full-time,ML Engineer,84000,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Operations Engineer,100000,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Operations Engineer,60000,US,Remote,US,Medium
2022,Medium-level,Full-time,Data Engineer,81601,GB,Remote,GB,Medium
2022,Medium-level,Full-time,Data Engineer,69047,GB,Remote,GB,Medium
2022,Senior-level,Full-time,Data Engineer,141300,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Engineer,102100,US,On-site,US,Medium
2022,Senior-level,Full-time,Data Analyst,51029,ES,On-site,ES,Medium
2022,Senior-level,Full-time,Data Analyst,37208,ES,On-site,ES,Medium
2022,Medium-level,Full-time,Business Data Analyst,150000,US,Remote,US,Large
2022,Medium-level,Full-time,Data Scientist,104199,GB,Remote,GB,Medium
2022,Entry-level,Full-time,Data Scientist,23260,IN,Hybrid,IN,Medium
2022,Senior-level,Full-time,Data Analyst,144000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Analyst,113000,US,Remote,US,Medium
2022,Entry-level,Full-time,AI Scientist,31893,PT,Remote,ES,Medium
2022,Senior-level,Full-time,Data Architect,195400,US,Remote,US,Large
2022,Senior-level,Full-time,Data Architect,131300,US,Remote,US,Large
2022,Senior-level,Full-time,Machine Learning Engineer,195400,US,Remote,US,Large
2022,Senior-level,Full-time,Machine Learning Engineer,131300,US,Remote,US,Large
2022,Senior-level,Full-time,Data Architect,195400,US,Remote,US,Large
2022,Senior-level,Full-time,Data Architect,131300,US,Remote,US,Large
2022,Senior-level,Full-time,Data Architect,190000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Architect,135000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,135000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,80000,US,Remote,US,Medium
2022,Entry-level,Full-time,BI Data Analyst,8179,IN,Remote,IN,Medium
2022,Senior-level,Full-time,Data Engineer,160000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,85000,US,Remote,US,Medium
2022,Senior-level,Full-time,Data Engineer,178800,US,Remote,US,Large
2022,Senior-level,Full-time,Data Engineer,132100,US,Remote,US,Large
2022,Medium-level,Contract,NLP Engineer,60000,IN,Remote,US,Small
2022,Senior-level,Full-time,Machine Learning Engineer,63786,FI,Hybrid,FI,Small
2022,Entry-level,Full-time,Business Data Analyst,50000,IN,Remote,AS,Large
